URL,Hierarchy,Depth,Last Modified
https://lc.hkbu.edu.hk/main/photo-visit-phd/,main > photo-visit-phd,2,2022-03-24T04:34:27+00:00
https://lc.hkbu.edu.hk/main/photo-english-table-manner-class/,main > photo-english-table-manner-class,2,2022-03-24T04:38:15+00:00
https://lc.hkbu.edu.hk/main/photo-chinese-table-manner-class/,main > photo-chinese-table-manner-class,2,2022-03-24T04:42:05+00:00
https://lc.hkbu.edu.hk/main/danburge/,main > danburge,2,2022-04-08T02:12:12+00:00
https://lc.hkbu.edu.hk/main/home-old/,main > home-old,2,2022-05-11T07:38:40+00:00
https://lc.hkbu.edu.hk/main/peggylai/,main > peggylai,2,2022-06-17T01:45:50+00:00
https://lc.hkbu.edu.hk/main/staff-dr_guo_songdan_nancy/,main > staff-dr_guo_songdan_nancy,2,2022-08-08T01:51:06+00:00
https://lc.hkbu.edu.hk/main/meilin22/,main > meilin22,2,2022-09-15T07:10:03+00:00
https://lc.hkbu.edu.hk/main/johndp/,main > johndp,2,2022-09-15T07:10:35+00:00
https://lc.hkbu.edu.hk/main/vienna/,main > vienna,2,2022-09-16T14:55:02+00:00
https://lc.hkbu.edu.hk/main/staff-chinese/staff-dr-hung-chi-kum/,main > staff-chinese > staff-dr-hung-chi-kum,3,2022-09-22T03:37:25+00:00
https://lc.hkbu.edu.hk/main/simonwang/,main > simonwang,2,2022-09-23T00:49:25+00:00
https://lc.hkbu.edu.hk/main/hcng/,main > hcng,2,2022-09-26T01:32:53+00:00
https://lc.hkbu.edu.hk/main/mfleung/,main > mfleung,2,2022-09-26T01:37:04+00:00
https://lc.hkbu.edu.hk/main/gcap-3056/,main > gcap-3056,2,2022-09-27T08:46:54+00:00
https://lc.hkbu.edu.hk/main/mr-ngai-ho-lun-hollis/,main > mr-ngai-ho-lun-hollis,2,2022-09-29T06:02:48+00:00
https://lc.hkbu.edu.hk/main/ms-cheng-ting-kwan-venice/,main > ms-cheng-ting-kwan-venice,2,2022-10-10T08:13:29+00:00
https://lc.hkbu.edu.hk/main/cmdc/,main > cmdc,2,2022-10-10T09:09:04+00:00
https://lc.hkbu.edu.hk/main/staff-ms-ashley-wong/,main > staff-ms-ashley-wong,2,2022-10-13T01:44:01+00:00
https://lc.hkbu.edu.hk/main/staff-dr-huang-ze-ping-michelle/,main > staff-dr-huang-ze-ping-michelle,2,2022-10-13T06:40:25+00:00
https://lc.hkbu.edu.hk/main/maksk/,main > maksk,2,2022-10-13T06:53:12+00:00
https://lc.hkbu.edu.hk/main/ivanchanyf/,main > ivanchanyf,2,2022-10-13T08:23:45+00:00
https://lc.hkbu.edu.hk/main/hhyhk/,main > hhyhk,2,2022-10-13T08:24:40+00:00
https://lc.hkbu.edu.hk/main/staff-dr-lee-ka-man-kathy/,main > staff-dr-lee-ka-man-kathy,2,2022-10-14T03:26:05+00:00
https://lc.hkbu.edu.hk/main/minor-programmes/,main > minor-programmes,2,2022-10-25T09:08:25+00:00
https://lc.hkbu.edu.hk/main/biweekly-bulletin/,main > biweekly-bulletin,2,2022-10-28T03:49:06+00:00
https://lc.hkbu.edu.hk/main/staff-research/,main > staff-research,2,2022-11-02T03:15:47+00:00
https://lc.hkbu.edu.hk/main/photos/english-short-story/,main > photos > english-short-story,3,2022-12-29T03:28:04+00:00
https://lc.hkbu.edu.hk/main/photos/drama/,main > photos > drama,3,2023-01-03T07:23:59+00:00
https://lc.hkbu.edu.hk/main/photos/english-speaking-contest/,main > photos > english-speaking-contest,3,2023-01-04T09:02:27+00:00
https://lc.hkbu.edu.hk/main/photos/cantonese/,main > photos > cantonese,3,2023-01-06T03:12:54+00:00
https://lc.hkbu.edu.hk/main/photos/literature/,main > photos > literature,3,2023-01-06T08:10:38+00:00
https://lc.hkbu.edu.hk/main/speech-pth/details/,main > speech-pth > details,3,2023-01-06T08:54:34+00:00
https://lc.hkbu.edu.hk/main/speech-c/details/,main > speech-c > details,3,2023-01-06T08:55:38+00:00
https://lc.hkbu.edu.hk/main/english-speaking-contest/tips/,main > english-speaking-contest > tips,3,2023-01-10T01:24:00+00:00
https://lc.hkbu.edu.hk/main/photos/hung-leung/,main > photos > hung-leung,3,2023-01-10T09:01:42+00:00
https://lc.hkbu.edu.hk/main/lhmconi/,main > lhmconi,2,2023-01-13T04:54:01+00:00
https://lc.hkbu.edu.hk/main/photos/,main > photos,2,2023-01-13T07:32:01+00:00
https://lc.hkbu.edu.hk/main/staff-mr-cheung-hoi-yin-angus/,main > staff-mr-cheung-hoi-yin-angus,2,2023-01-13T07:56:37+00:00
https://lc.hkbu.edu.hk/main/ses-pth/,main > ses-pth,2,2023-01-17T07:38:04+00:00
https://lc.hkbu.edu.hk/main/ielts/prepare_more/,main > ielts > prepare_more,3,2023-01-19T06:11:10+00:00
https://lc.hkbu.edu.hk/main/ielts/prepare_less/,main > ielts > prepare_less,3,2023-01-19T06:12:54+00:00
https://lc.hkbu.edu.hk/main/ielts/listening/,main > ielts > listening,3,2023-01-20T03:24:52+00:00
https://lc.hkbu.edu.hk/main/cptp/,main > cptp,2,2023-01-26T01:16:54+00:00
https://lc.hkbu.edu.hk/main/putonghua-speaking-enhancement/,main > putonghua-speaking-enhancement,2,2023-01-30T07:14:12+00:00
https://lc.hkbu.edu.hk/main/english-speaking-contest/examples/,main > english-speaking-contest > examples,3,2023-01-30T07:44:37+00:00
https://lc.hkbu.edu.hk/main/drama-club/,main > drama-club,2,2023-02-03T03:20:35+00:00
https://lc.hkbu.edu.hk/main/ielts/reading/,main > ielts > reading,3,2023-02-21T04:37:28+00:00
https://lc.hkbu.edu.hk/main/ielts/writing/,main > ielts > writing,3,2023-02-21T04:38:18+00:00
https://lc.hkbu.edu.hk/main/ielts/speaking/,main > ielts > speaking,3,2023-02-21T06:08:36+00:00
https://lc.hkbu.edu.hk/main/ielts/course/,main > ielts > course,3,2023-02-21T06:24:19+00:00
https://lc.hkbu.edu.hk/main/ira/,main > ira,2,2023-02-23T03:41:56+00:00
https://lc.hkbu.edu.hk/main/course-certificates/,main > course-certificates,2,2023-03-15T06:13:02+00:00
